mesano;mes;ano;PIB;BR_LEVES;BR_PESADOS;BR_TOTAL;SP_LEVES;SP_PESADOS;SP_TOTAL;PR_LEVES;PR_PESADOS;PR_TOTAL;RJ_LEVES;RJ_PESADOS;RJ_TOTAL
jan/03;1;2003;100;108,87;104,41;107,87;105,53;110,26;106,58;114,83;85,78;104,37;113,38;99,22;111,19
fev/03;2;2003;102,96;90,99;100,67;93,15;87,33;106,11;91,5;81,52;90,93;84,9;102,93;88,07;100,63
mar/03;3;2003;109,23;94,04;110,23;97,65;94,7;113,62;98,9;83,65;115,14;94,99;101,46;93,36;100,21
abr/03;4;2003;107,43;93,43;111,03;97,36;94,85;114,16;99,14;85,21;107,94;93,4;99,96;93,59;98,97
mai/03;5;2003;103,43;91,08;116,09;96,67;92,01;122,46;98,77;78,45;109,16;89,51;102,64;96,21;101,64
jun/03;6;2003;101,43;88,46;110,1;93,3;89,73;117,8;95,96;74,69;101,51;84,35;99,52;91,87;98,34
jul/03;7;2003;106,36;95,15;118,6;100,39;94,87;125,42;101,65;88,64;113,6;97,63;108,17;101,41;107,13
ago/03;8;2003;105,26;90,16;116,94;96,15;89,35;122,59;96,73;79,81;117,89;93,52;103,88;98,45;103,04
set/03;9;2003;105,4;88,34;117,73;94,91;87,2;125,72;95,75;80,11;109,9;90,84;102,5;99,48;102,03
out/03;10;2003;107,36;94,8;124,39;101,41;93,98;132,97;102,64;84,18;112,6;94,41;109,05;105,48;108,49
nov/03;11;2003;105,31;92,81;115,67;97,92;91,42;123,74;98,6;84,45;102,2;90,84;105,23;99,87;104,4
dez/03;12;2003;105,52;111,89;116,37;112,89;109,12;123,6;112,34;117,06;102,44;111,8;120,02;105,92;117,83
jan/04;1;2004;103,08;109,19;108,67;109,08;102,84;114,27;105,38;127,49;99,72;117,49;115,15;98,66;112,59
fev/04;2;2004;105,04;95,65;104,52;97,63;90,76;109,83;94,99;96,6;99,24;97,55;102,4;90,2;100,51
mar/04;3;2004;118,6;91,69;125,53;99,26;89,78;133,24;99,43;83,79;118,44;96,27;105,88;107,36;106,11
abr/04;4;2004;113,36;95,36;118,34;100,49;94,58;123,55;101,02;91,79;117,25;100,96;105,64;99,25;104,65
mai/04;5;2004;109,67;92,47;121,49;98,96;91,34;128,32;99,55;85,73;117,08;97,02;106,74;102,29;106,05
jun/04;6;2004;110,81;89,25;119,93;96,11;87,79;128,51;96,83;84;112,53;94,28;103,06;100,74;102,7
jul/04;7;2004;116,46;100,39;125,64;106,03;100,22;135,26;108,01;98,32;116,49;104,87;111,06;105,54;110,21
ago/04;8;2004;113,81;94,2;129,67;102,13;93,66;139,38;103,81;87,53;124,59;100,88;106,74;107,29;106,82
set/04;9;2004;111,1;95,54;126,7;102,5;94,93;138,84;104,68;91,66;111,49;98,8;106,18;105,65;106,09
out/04;10;2004;110,83;99,46;124,85;105,14;98,58;136,18;106,93;93,66;107,63;98,69;111,41;105,84;110,55
nov/04;11;2004;110,52;96,88;122,26;102,55;96,49;134,13;104,85;91,18;100,84;94,66;106,29;106,85;106,38
dez/04;12;2004;113,26;114,6;124,11;116,72;112,92;134,31;117,67;120,85;102,47;114,23;119,2;114,07;118,4
jan/05;1;2005;108,25;113,68;111,74;113,24;108,83;119,75;111,26;130,36;95,64;117,85;114,05;103,19;112,36
fev/05;2;2005;108,6;96,36;107,86;98,93;93,41;116,18;98,47;99,42;98,16;98,96;99,13;92,93;98,17
mar/05;3;2005;121,36;101,37;126,91;107,08;101,05;134,88;108,56;97,42;126,79;108;108,69;108,65;108,69
abr/05;4;2005;118,28;95,79;120,34;101,27;97,23;130,91;104,71;86,92;108,39;94,65;105,23;103,31;104,94
mai/05;5;2005;114,18;97,85;124,23;103,75;98,25;135,35;106,49;90,68;108,79;97,2;107,9;106,41;107,67
jun/05;6;2005;115,1;92,27;125,26;99,64;92,04;137,16;102,06;82,38;108,76;91,88;104,79;106,35;105,03
jul/05;7;2005;117,99;105,39;123,41;109,42;106,01;135,94;112,65;104,73;106,97;105,54;114,02;105,6;112,72
ago/05;8;2005;117,97;98,47;129,87;105,48;98,78;143,76;108,77;92,84;111,56;99,58;110,16;107,11;109,68
set/05;9;2005;113,63;94,32;123,44;100,82;94,84;136,96;104,2;87,84;101,92;92,91;105,08;107,79;105,5
out/05;10;2005;113,55;98,34;123,36;103,93;98,53;135,58;106,76;92,24;104,73;96,74;110,08;107,76;109,72
nov/05;11;2005;114,19;99;122,21;104,18;99,87;134,09;107,47;95,74;100,88;97,59;106,63;110,33;107,2
dez/05;12;2005;118,17;117,01;124,24;118,62;116,2;135,86;120,56;125,02;100,51;116,19;121,86;115,84;120,93
jan/06;1;2006;113,24;118,57;113,7;117,48;115,45;123,99;117,34;135,03;93,18;119,96;118,46;106,22;116,57
fev/06;2;2006;111,93;98,02;107,46;100,13;94,58;116,19;99,38;97,72;93,17;96,08;101,96;96,01;101,04
mar/06;3;2006;123,56;99,33;128,44;105,83;99,25;139,26;108,14;91,52;114,4;99,76;107,93;111,54;108,49
abr/06;4;2006;118,32;101,14;115,95;104,45;102;125,52;107,23;97,34;100,77;98,57;107,06;98,82;105,78
mai/06;5;2006;120,24;96,15;125,46;102,7;96,81;138,08;105,97;88,56;105,64;94,71;107,17;105,01;106,84
jun/06;6;2006;118,64;91,19;120,53;97,75;92,35;134,1;101,62;84,71;98,4;89,64;99,83;102,48;100,24
jul/06;7;2006;124,4;105,04;125,39;109,59;106,6;139,78;113,97;102,86;104,26;103,37;113,02;106,08;111,95
ago/06;8;2006;124;98,52;132,42;106,1;99,75;147,78;110,41;89,63;110,73;97,23;109;112,18;109,49
set/06;9;2006;118,98;99,62;125,44;105,39;101,2;140,77;109,99;94,71;101,86;97,28;106,86;107,18;106,91
out/06;10;2006;120,34;102,56;129,49;108,58;103,62;143,96;112,58;96,26;106,32;99,88;111,14;111,26;111,16
nov/06;11;2006;120,21;103,19;127,42;108,61;104,69;143,12;113,22;94,45;98,25;95,82;111,76;110;111,49
dez/06;12;2006;121,92;122,65;125,45;123,28;122,75;139,63;126,5;131,44;94,48;118,13;122,39;115,53;121,33
jan/07;1;2007;118,5;120,36;119,78;120,23;117,84;132,56;121,1;140,13;93,27;123,26;116,12;107,18;114,74
fev/07;2;2007;116,23;103,77;110,95;105,37;101,9;121,44;106,24;105,77;97,88;102,93;104,97;95,05;103,44
mar/07;3;2007;128,87;104,32;134,03;110,96;105,49;146,28;114,55;96,4;122,22;105,7;112,82;112,71;112,8
