City,Region,Country,AirQuality,WaterPollution
New York City,New York,United States of America,46.81603774,49.5049505
"Washington, D.C.",District of Columbia,United States of America,66.12903226,49.10714286
San Francisco,California,United States of America,60.51401869,43
Berlin,,Germany,62.36413043,28.61271676
Los Angeles,California,United States of America,36.62162162,61.29943503
Bern,Canton of Bern,Switzerland,94.31818182,12.5
Geneva,Canton of Geneva,Switzerland,71.53846154,17.37288136
Zurich,Canton of Zurich,Switzerland,83.80952381,10.71428571
Basel,,Switzerland,81.66666667,26.92307692
London,England,United Kingdom,37.04225352,40.71637427
Cairo,Cairo Governorate,Egypt,15.830721,74.35064935
Alexandria,Alexandria Governorate,Egypt,41.03773585,71.2962963
Alexandria,Virginia,United States of America,89.0625,46.15384615
Paris,Ile-de-France,France,34.02439024,43.12169312
Boston,Massachusetts,United States of America,78.23529412,32.91139241
Toronto,Ontario,Canada,65.53468208,37.7994012
Sao Paulo,Sao Paulo,Brazil,24.05660377,73.71794872
Vilnius,,Lithuania,77.24719101,20.58823529
Monaco,,Monaco,28.78787879,61.36363636
Brussels,,Belgium,35.81081081,44.76190476
Poznan,Greater Poland Voivodeship,Poland,33.07692308,50.42372881
Tashkent,,Uzbekistan,56.4516129,49.16666667
Warsaw,Masovian Voivodeship,Poland,27.27272727,36.01485149
Modena,Emilia-Romagna,Italy,39.0625,50
Tours,,France,84.375,6.25
Singapore,,Singapore,65.87837838,24.204947
Montreal,Quebec,Canada,70.76023392,36.96319018
Cambridge,England,United Kingdom,69.82758621,30.55555556
Cologne,North Rhine-Westphalia,Germany,60.71428571,27.77777778
Skopje,Greater Skopje,North Macedonia,10.19417476,45.26315789
Gdynia,Pomeranian Voivodeship,Poland,49.41860465,48.61111111
Szczecin,West Pomeranian Voivodeship,Poland,41.37931034,53.75
Ljubljana,Ljubljana City Municipality,Slovenia,72.16494845,17.58241758
Plovdiv,Plovdiv region,Bulgaria,31.41025641,36.29032258
Sofia,Sofia City Province,Bulgaria,23.62132353,40.94339623
Milan,Lombardy,Italy,24.39759036,39.49044586
Trieste,Friuli-Venezia Giulia,Italy,58.87096774,29
Lodz,Lodz Voivodeship,Poland,28.84615385,40.44117647
Villeurbanne,,France,75,50
Oslo,,Norway,74.75728155,14.17525773
Bonn,North Rhine-Westphalia,Germany,82.8125,22.5
Katowice,Silesian Voivodeship,Poland,27.77777778,48.33333333
Lisbon,Lisbon,Portugal,64.60674157,24.85632184
Rzeszow,Podkarpackie Voivodeship,Poland,37.5,47.05882353
Dubai,Emirate of Dubai,United Arab Emirates,48.87387387,39.84615385
Padua,Veneto,Italy,29.16666667,50
Bergamo,Lombardy,Italy,46.66666667,35
Venice,Veneto,Italy,36.25,67.85714286
Rennes,,France,62.5,35
Lille,,France,48.91304348,35.52631579
Moscow,,Russia,41.47526502,49.72527473
Saint Petersburg,,Russia,43.10344828,54.8816568
Heilbronn,Baden-Wurttemberg,Germany,80,0
Saginaw,Michigan,United States of America,85,70
Bialystok,Podlaskie Voivodeship,Poland,34.52380952,52.94117647
Nowy Sacz,Lesser Poland Voivodeship,Poland,30,100
Lausanne,Canton of Vaud,Switzerland,78.26086957,17.5
Abakan,Republic of Khakassia,Russia,0,75
Novosibirsk,Novosibirsk Oblast,Russia,36.48648649,54.05405405
Yekaterinburg,Sverdlovsk Oblast,Russia,27.90697674,58.33333333
Samara,Samara Oblast,Russia,48.4375,51.5625
Omsk,Omsk Oblast,Russia,16.17647059,48.52941176
Kazan,Republic of Tatarstan,Russia,41.25,58.33333333
Chelyabinsk,Chelyabinsk Oblast,Russia,16.66666667,70.3125
Ufa,Bashkortostan,Russia,20.83333333,68.18181818
Volgograd,Volgograd Oblast,Russia,21.66666667,59.375
Perm,Perm Krai,Russia,44.44444444,50
Krasnoyarsk,Krasnoyarsk Krai,Russia,6.617647059,49.21875
Beijing,,People's Republic of China,21.36627907,70.78313253
Vladivostok,Primorsky Krai,Russia,35,67.5
San Antonio,Texas,United States of America,63.41463415,50.67567568
Tomsk,Tomsk Oblast,Russia,46.42857143,51.78571429
Tbilisi,,Georgia,22.98387097,49.34782609
Maribor,Maribor City Municipality,Slovenia,76.25,18.75
Celje,City Municipality of Celje,Slovenia,50,8.333333333
Koper,City Municipality of Koper,Slovenia,87.5,0
Aachen,North Rhine-Westphalia,Germany,70.45454545,17.85714286
Nova Gorica,City Municipality of Nova Gorica,Slovenia,75,12.5
Kranj,City Municipality of Kranj,Slovenia,80.55555556,12.5
Stuttgart,Baden-Wurttemberg,Germany,43.125,24.28571429
Biel/Bienne,Canton of Bern,Switzerland,37.5,31.25
Karlsruhe,Baden-Wurttemberg,Germany,87.5,5.555555556
Hamburg,,Germany,70.76271186,24.50980392
Ahmedabad,Gujarat,India,32.96296296,66.9921875
Salerno,Campania,Italy,60,58.33333333
Prague,,Czech Republic,63.21243523,25.70621469
Jamnagar,Gujarat,India,34.48275862,58.33333333
Busto Arsizio,Lombardy,Italy,0,75
Mumbai,Maharashtra,India,25.16025641,75.32537961
Jerusalem,Jerusalem District,Israel,37.09677419,42.39130435
Grenoble,,France,34.09090909,26.47058824
Dortmund,North Rhine-Westphalia,Germany,75,15.625
Ghent,Flemish Region,Belgium,55.46875,27.67857143
Chicago,Illinois,United States of America,57.43243243,53.62068966
Como,Lombardy,Italy,58.33333333,40
Montevideo,Montevideo Department,Uruguay,65.78947368,46.75324675
Tolyatti,Samara Oblast,Russia,36.11111111,43.75
Pittsburgh,Pennsylvania,United States of America,58.92857143,59.61538462
Philadelphia,Pennsylvania,United States of America,54.28571429,55.64516129
Kolkata,West Bengal,India,25.93457944,68.26923077
Chennai,Tamil Nadu,India,35.88435374,73.07017544
Delhi,,India,11.8441358,77.41679873
Dhaka,Dhaka Division,Bangladesh,14.96815287,78.25342466
Hyderabad,Telangana,India,31.49253731,70.10703364
Islamabad,Islamabad Capital Territory,Pakistan,67.41803279,51.32743363
Zagreb,,Croatia,69.7740113,26.59883721
Genoa,Liguria,Italy,51.72413793,30
Manila,Metro Manila,Philippines,17.01570681,83.7431694
Quezon City,Metro Manila,Philippines,23.80952381,80.12820513
Le Mans,,France,95,50
Caloocan,Metro Manila,Philippines,25,83.33333333
Bordeaux,,France,68.47826087,42.64705882
Buenos Aires,,Argentina,54.26470588,54.84375
Mexico City,,Mexico,18.07909605,69.59064327
Tokyo,,Japan,61.87150838,37.94117647
La Paz,La Paz Department,Bolivia,27.94117647,79.54545455
Barcelona,Catalonia,Spain,35.49723757,51.31578947
Makati,Metro Manila,Philippines,34.21052632,70.94594595
Nagpur,Maharashtra,India,46.61016949,69.44444444
Abidjan,,Cote d'Ivoire,6.944444444,79.41176471
Abu Dhabi,Emirate of Abu Dhabi,United Arab Emirates,55.98290598,37.99019608
Athens,Attica Region,Greece,44.17412141,30.31561462
Caracas,Capital District,Venezuela,43.359375,69.06779661
Pune,Maharashtra,India,39.10788382,71.86147186
Guatemala City,Guatemala Department,Guatemala,39.28571429,69.53125
Havana,Havana Province,Cuba,46.66666667,50
Valenzuela,Metro Manila,Philippines,48.68421053,88.15789474
Pasig,Metro Manila,Philippines,27.94117647,82.69230769
Antipolo,,Philippines,60.29411765,75
Osijek,Osijek-Baranja County,Croatia,83.75,13.33333333
Cagayan de Oro,,Philippines,62.5,100
Rijeka,Primorje-Gorski Kotar County,Croatia,75,17.85714286
Split,Split-Dalmatia County,Croatia,71.71052632,30
Butuan,,Philippines,37.5,66.66666667
Kiel,Schleswig-Holstein,Germany,93.75,25
Schwerin,Mecklenburg-Western Pomerania,Germany,87.5,50
Potsdam,Brandenburg,Germany,88.63636364,10.71428571
Hanover,Lower Saxony,Germany,75,22.91666667
D?sseldorf,North Rhine-Westphalia,Germany,64.81481481,23.91304348
Mainz,Rhineland-Palatinate,Germany,86.11111111,35
Wiesbaden,Hesse,Germany,73.21428571,42.5
Dubrovnik,Dubrovnik-Neretva County,Croatia,87.5,40
Saarbr?cken,Saarland,Germany,87.5,12.5
Lipa,,Philippines,87.5,25
Munich,Bavaria,Germany,74.41860465,15.46610169
Dresden,Saxony,Germany,75,7.894736842
Magdeburg,Saxony-Anhalt,Germany,93.75,6.25
Innsbruck,Tyrol,Austria,75,7.8125
Bregenz,Vorarlberg,Austria,95,50
Vienna,,Austria,82.70547945,10.14492754
Stockholm,Stockholm County,Sweden,83.20610687,15.0390625
Helsinki,Uusimaa,Finland,89.88095238,15.49586777
Dublin,,Ireland,67.02380952,39.70588235
Murmansk,Murmansk Oblast,Russia,57.14285714,14.28571429
Reykjavik,,Iceland,86.68478261,5.113636364
Tallinn,Harju County,Estonia,81.8877551,18.61702128
Riga,,Latvia,62.5,31.95652174
Bratislava,Bratislava Region,Slovakia,62.32394366,32.46268657
Budapest,,Hungary,40.61032864,32.375
Gdansk,Pomeranian Voivodeship,Poland,45.55555556,45
Frankfurt,Hesse,Germany,63.39285714,25.98039216
Wroclaw,Lower Silesian Voivodeship,Poland,25.68807339,35.4368932
Kochi,Kerala,India,36.5625,68.40277778
Baguio,Cordillera Administrative Region,Philippines,26.88679245,66.4893617
Kaliningrad,Kaliningrad Oblast,Russia,55,55
Luxembourg,,Luxembourg,83.10810811,20.45454545
Vaduz,,Liechtenstein,100,0
San Marino,,San Marino,87.5,50
Phnom Penh,,Cambodia,26.06382979,70.83333333
Arkhangelsk,Arkhangelsk Oblast,Russia,43.75,50
Ho Chi Minh City,,Vietnam,12.21910112,77.76162791
Hanoi,,Vietnam,15.70247934,77.35042735
Bangkok,,Thailand,26.85185185,70.83333333
Andorra la Vella,Andorra la Vella,Andorra,37.5,25
Kuala Lumpur,,Malaysia,39.43452381,65.68322981
Taipei,,Taiwan,52.47933884,44.87179487
Odessa,Odessa Oblast,Ukraine,50.5,58.85416667
Concepcion,Biobio Region,Chile,55.76923077,33.33333333
Bologna,Emilia-Romagna,Italy,38.15789474,28.03030303
Petrozavodsk,Karelia,Russia,58.33333333,25
Cagliari,Sardinia,Italy,71.05263158,20
Catania,Sicily,Italy,46.42857143,55.55555556
Caserta,Campania,Italy,34.375,56.25
Ottawa,Ontario,Canada,84.56375839,27.99295775
Juba,,South Sudan,62.5,75
Yerevan,,Armenia,41.81034483,35
Vologda,Vologda Oblast,Russia,62.5,25
Dar es Salaam,Dar es Salaam Region,Tanzania,46.875,76
Khartoum,Khartoum,Sudan,42.85714286,78.125
Verona,Veneto,Italy,36.11111111,42.85714286
Iqaluit,Nunavut,Canada,50,50
Florence,Tuscany,Italy,52.67857143,36
Whitehorse,Yukon,Canada,92.5,12.5
Yellowknife,Northwest Territories,Canada,87.5,43.75
Essen,North Rhine-Westphalia,Germany,80,4.166666667
Leipzig,Saxony,Germany,84.21052632,20
St. John's,Newfoundland and Labrador,Canada,90.625,35.41666667
Nuremberg,Bavaria,Germany,75,12.5
Edmonton,,Canada,72.03703704,27.46212121
Duisburg,North Rhine-Westphalia,Germany,53.57142857,31.25
Bochum,North Rhine-Westphalia,Germany,68.18181818,25
Wuppertal,North Rhine-Westphalia,Germany,90,0
Bielefeld,North Rhine-Westphalia,Germany,67.85714286,50
Mannheim,Baden-Wurttemberg,Germany,51.08695652,30.55555556
Regina,Saskatchewan,Canada,68.57142857,42.74193548
Charlottetown,Prince Edward Island,Canada,97.5,20
Victoria,British Columbia,Canada,92.72151899,27.7027027
Winnipeg,Manitoba,Canada,71.31147541,42.64705882
Fredericton,New Brunswick,Canada,90,31.25
Halifax,Nova Scotia,Canada,84.57446809,36.25
Cherepovets,Vologda Oblast,Russia,0,100
Quebec City,Quebec,Canada,82.5,43.75
Arica,Arica y Parinacota Region,Chile,75,50
Pskov,Pskov Oblast,Russia,100,50
Veliky Novgorod,Novgorod Oblast,Russia,100,50
Birmingham,England,United Kingdom,52.97619048,25.64102564
Minsk,,Belarus,60.9223301,41.40625
Tver,Tver Oblast,Russia,62.5,37.5
Smolensk,Smolensk Oblast,Russia,50,54.16666667
Yaroslavl,Yaroslavl Oblast,Russia,16.66666667,58.33333333
Mogadishu,Banaadir,Somalia,60,57.5
Nassau,,The Bahamas,50,59.25925926
Sanaa,,Yemen,41.66666667,91.66666667
