"id")","result","Score1","Score2","Frequency1","Frequency2","Amount","Net","LTV","Source","Gender","AgeRange","CustomerType"
"1","#N/D",NA,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"2","1",13.0229,0,NA,NA,NA,112,1.61,2,"F","",2
"3","1",96.4988,0,NA,NA,NA,1319,530.78,2,"F","35_to_49",2
"4","#N/D",NA,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"5","1",23.3103,0,NA,NA,NA,266,6.45,2,"F","18_to_34",2
"6","#N/D",NA,0,NA,NA,NA,0,0,2,"M","60_or_higher",1
"7","#N/D",NA,0,NA,NA,NA,0,0,2,"M","18_to_34",1
"8","0",30.6057,0,NA,NA,NA,0,0.31,2,"F","50_to_59",2
"9","0",60.5443,3.6,55,NA,NA,3531,53.04,5,"F","35_to_49",4
"10","1",7.6849,6,460,4,1792,489,38.18,5,"F","35_to_49",5
"11","1",3.0807,2.6,19,NA,NA,559,14.57,5,"F","50_to_59",3
"12","0",30.6057,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"13","0",57.0006,2.9,97,1,3844,192,100.29,1,"M","60_or_higher",3
"14","0",54.0267,0,NA,NA,NA,0,0,2,"F","60_or_higher",1
"15","0",77.8403,0,NA,NA,NA,224,46.89,2,"M","35_to_49",2
"16","0",40.5167,1.9,48,NA,NA,130,2.13,5,"M","35_to_49",2
"17","1",18.8608,7.8,349,6,19325,751,309.77,5,"F","35_to_49",5
"18","0",51.0113,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"19","1",14.6519,2.3,21,NA,NA,1550,27.36,5,"M","35_to_49",3
"20","1",38.7619,0,NA,NA,NA,546,70.83,2,"F","35_to_49",2
"21","0",19.9297,0,NA,NA,NA,0,0,2,"M","35_to_49",1
"22","0",3.7249,3,29,NA,NA,1235,22.23,5,"M","35_to_49",4
"23","0",53.1048,0,NA,NA,NA,30,0.48,2,"F","35_to_49",2
"24","1",29.6715,4,27,NA,NA,296,5.65,5,"F","35_to_49",4
"25","0",52.8186,3.7,21,NA,NA,125,4.7,5,"M","35_to_49",4
"26","0",13.4776,0,NA,NA,NA,200,3.42,2,"M","35_to_49",2
"27","0",23.0048,5.1,48,NA,NA,728,16.03,5,"M","35_to_49",4
"28","0",12.75,0,NA,NA,NA,0,15.64,2,"M","35_to_49",2
"29","1",3.7571,0,NA,NA,NA,0,0,2,"F","35_to_49",1
"30","1",66.9952,0,NA,NA,NA,1516,117.33,2,"M","60_or_higher",2
"31","1",8.1969,0,NA,NA,NA,256,45.51,2,"M","35_to_49",2
"32","0",21.5967,0,NA,NA,NA,66,7.26,2,"F","60_or_higher",2
"33","1",42.1677,3.4,21,1,24,410,6.92,5,"M","35_to_49",4
"34","0",91.3701,2.2,10,NA,NA,125,1.87,5,"M","35_to_49",3
"35","0",92.2794,0,NA,NA,NA,0,0,2,"M","60_or_higher",1
"36","#N/D",NA,0,NA,NA,NA,0,0,2,"M","18_to_34",1
"37","0",18.0745,0,NA,NA,NA,174,15.77,2,"F","35_to_49",2
"38","1",49.4036,2.9,30,NA,NA,764,12.17,5,"M","35_to_49",3
"39","0",41.799,0,NA,NA,NA,0,129.58,2,"M","35_to_49",2
"40","1",23.0498,0,NA,NA,NA,0,0,2,"M","50_to_59",1
"41","0",23.0712,0,NA,NA,NA,191,2.92,2,"F","35_to_49",2
"42","0",52.2422,0,NA,NA,NA,320,112.44,2,"M","35_to_49",2
"43","0",6.5279,0,NA,NA,NA,72,13.61,2,"F","35_to_49",2
"44","1",46.7489,2.5,8,NA,NA,374,6.16,5,"F","35_to_49",3
"45","0",21.9493,0,NA,NA,NA,944,70.19,2,"M","35_to_49",2
